Unofficial Election Results
Contest Name,Ballots Cast
"PALOMAR COMMUNITY COLLEGE  GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","66968"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","362852"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","362852"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","145991"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","8382"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","7701"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","7767"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","3877"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","10539"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","19500"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","14891"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","12874"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","362514"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","362514"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","362514"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","11674"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","11969"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","8715"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","2513"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","10621"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","6093"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","13693"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","870"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","10804"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","10956"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","38577"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","18510"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","17867"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","33057"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","7630"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9348"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","13261"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","5914"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","97620"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","97620"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","948"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","22204"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","37254"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","11085"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","8393"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","7313"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","14166"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","11055"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","11055"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","12185"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3044"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","22496"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","22496"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","20844"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","3322"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","173076"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","229815"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","255130"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","13844"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","15564"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","24836"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","15750"
"CITY OF CORONADO MAYOR","7767"
"CITY OF CORONADO MEMBER, CITY COUNCIL","7767"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2469"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","5063"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","7534"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","5318"
"CITY OF ENCINITAS MAYOR","30678"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","7937"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","6610"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","13816"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","9189"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","12650"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2124"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1270"
"CITY OF LA MESA MEMBER, CITY COUNCIL","23444"
"CITY OF LEMON GROVE MAYOR","8139"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","8139"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","12255"
"CITY OF NATIONAL CITY CITY CLERK","12255"
"CITY OF NATIONAL CITY TREASURER","12255"
"CITY OF OCEANSIDE MAYOR","59572"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","18362"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","16091"
"CITY OF OCEANSIDE CITY CLERK","59572"
"CITY OF OCEANSIDE TREASURER","59572"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","6434"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","4288"
"CITY OF SAN DIEGO MAYOR","481278"
"CITY OF SAN DIEGO CITY ATTORNEY","481278"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","66135"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","67686"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","69859"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","59595"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","32957"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","7355"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","8546"
"CITY OF SANTEE MAYOR","21140"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","5401"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","5556"
"CITY OF SOLANA BEACH MAYOR","6775"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","1817"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1584"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","7320"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","6519"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","6488"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1118"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","16919"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","16829"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","16468"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6329"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","1711"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","6651"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7620"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","11729"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","15085"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","18100"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8007"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","23335"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","29220"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2150"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","1734"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","13141"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","2748"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","4241"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","15677"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6734"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","1942"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","5981"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9248"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","21250"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","19493"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","21932"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","27645"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","8935"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","7652"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7168"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7209"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1121804"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1121804"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1121804"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1121804"
"PROP 18 Amends CA Constitution Voting Age.","1121804"
"PROP 19 Changes Certain Property Tax Rules.","1121804"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1121804"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1121804"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1121804"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1121804"
"PROP 24 Amends Consumer Privacy Laws.","1121804"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1121804"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","481278"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","481278"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","362514"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","362514"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","481278"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","55736"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","30678"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","7019"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","8139"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","59572"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","59572"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","59572"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","21430"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","21140"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","21140"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","21140"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","6775"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","49798"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","948"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","49447"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","39484"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","20136"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","22462"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","79"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","7168"
