Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 64,000) </br> Next Update 11/9/20 After 5PM
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","11211"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","9906"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","9672"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","6161"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","15125"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","25699"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","20401"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","20574"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","504834"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","504834"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","504834"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","14701"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","15647"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","12241"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","3467"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","15473"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9797"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","18031"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","1201"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","15536"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","16050"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","52442"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","23544"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","22180"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","48297"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","11352"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","12751"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","18295"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","7682"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","143720"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","143720"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","1365"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","27775"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","47620"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","15987"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","12274"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","10608"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","22264"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","16138"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","16138"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","17993"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","4202"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","33742"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","33742"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","25969"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","5076"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","255740"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","331342"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","338944"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","18111"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","19298"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","36485"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","24254"
"CITY OF CORONADO MAYOR","9672"
"CITY OF CORONADO MEMBER, CITY COUNCIL","9672"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","3011"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","7732"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","11070"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","7106"
"CITY OF ENCINITAS MAYOR","39660"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","10204"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","8818"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","19315"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","13867"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","17738"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","3027"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1950"
"CITY OF LA MESA MEMBER, CITY COUNCIL","32102"
"CITY OF LEMON GROVE MAYOR","12064"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","12064"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","18140"
"CITY OF NATIONAL CITY CITY CLERK","18140"
"CITY OF NATIONAL CITY TREASURER","18140"
"CITY OF OCEANSIDE MAYOR","86085"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","25591"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","23386"
"CITY OF OCEANSIDE CITY CLERK","86085"
"CITY OF OCEANSIDE TREASURER","86085"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","8361"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","6122"
"CITY OF SAN DIEGO MAYOR","664313"
"CITY OF SAN DIEGO CITY ATTORNEY","664313"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","84386"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","92248"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","90808"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","81303"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","49466"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","10419"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","11669"
"CITY OF SANTEE MAYOR","31709"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","7804"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","8459"
"CITY OF SOLANA BEACH MAYOR","8723"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","2343"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","2100"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","10732"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","10002"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9667"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1461"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","24228"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","24510"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","24171"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7952"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2749"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","8626"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9538"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","17178"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","21665"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","25301"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","12168"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","33005"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","40733"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2868"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","2487"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","20901"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","4400"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","5707"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","20603"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9929"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2533"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","9242"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","13315"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","30885"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","28252"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","30031"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","35196"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","11824"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","11060"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","10580"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","10307"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1572972"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1572972"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1572972"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1572972"
"PROP 18 Amends CA Constitution Voting Age.","1572972"
"PROP 19 Changes Certain Property Tax Rules.","1572972"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1572972"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1572972"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1572972"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1572972"
"PROP 24 Amends Consumer Privacy Laws.","1572972"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1572972"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","664313"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","664313"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","504834"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","504834"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","664313"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","71564"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","39660"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","10269"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","12064"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","86085"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","86085"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","86085"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","28811"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","31709"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","31709"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","31709"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","8723"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","71930"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","1365"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","68982"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","58147"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","30009"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","34598"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","107"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","10580"
