Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 205,000) </br> Next Update 11/7/20 After 5PM
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","3076"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","13878"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","8536"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","16714"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","1097"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","13890"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","14202"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","47256"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","22572"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","21252"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","43503"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","10096"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","11970"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","16887"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","7232"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","128447"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","128447"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","1255"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","26485"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","45580"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","14331"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","10901"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","9508"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","19787"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","13887"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","13887"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","16327"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3956"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","30255"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","30255"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","24662"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","4428"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","227934"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","297557"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","315840"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","16747"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","18615"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","32197"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","21631"
"CITY OF CORONADO MAYOR","9319"
"CITY OF CORONADO MEMBER, CITY COUNCIL","9319"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2912"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","6860"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","9980"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","6817"
"CITY OF ENCINITAS MAYOR","37756"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","9619"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","8472"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","17380"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","12042"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","16021"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2650"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1702"
"CITY OF LA MESA MEMBER, CITY COUNCIL","28470"
"CITY OF LEMON GROVE MAYOR","10288"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","10288"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","16508"
"CITY OF NATIONAL CITY CITY CLERK","16508"
"CITY OF NATIONAL CITY TREASURER","16508"
"CITY OF OCEANSIDE MAYOR","77863"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","23006"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","21084"
"CITY OF OCEANSIDE CITY CLERK","77863"
"CITY OF OCEANSIDE TREASURER","77863"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","7789"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","5556"
"CITY OF SAN DIEGO MAYOR","606313"
"CITY OF SAN DIEGO CITY ATTORNEY","606313"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","79167"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","83244"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","85580"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","75136"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","43318"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","9220"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","10751"
"CITY OF SANTEE MAYOR","28434"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","7050"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","7655"
"CITY OF SOLANA BEACH MAYOR","8179"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","2189"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1957"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","9483"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","9003"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","8630"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1349"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","21885"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","21895"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","21932"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7635"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2392"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","8096"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9192"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","15361"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","19377"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","23182"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","10947"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","29717"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","37192"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2590"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","2222"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","18133"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","3824"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","5404"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","19360"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","8746"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2384"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8261"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","12058"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","27613"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","25632"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","27453"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","33222"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","10881"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","9675"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9228"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9182"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1428799"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1428799"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1428799"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1428799"
"PROP 18 Amends CA Constitution Voting Age.","1428799"
"PROP 19 Changes Certain Property Tax Rules.","1428799"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1428799"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1428799"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1428799"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1428799"
"PROP 24 Amends Consumer Privacy Laws.","1428799"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1428799"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","606313"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","606313"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","458860"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","458860"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","606313"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","67456"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","37756"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","9065"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","10288"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","77863"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","77863"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","77863"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","26544"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","28434"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","28434"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","28434"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","8179"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","65421"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","1255"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","61759"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","52542"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","26252"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","30890"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","95"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","9228"
