TEST Unofficial Election Results
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","23","15","0"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","20","12","0"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","11","7","0"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","203","89","0"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","203","89","0"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","203","89","0"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","27","19","0"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","33","24","0"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","16","10","0"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","5","3","0"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","29","19","0"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","10","6","0"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","23","13","0"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","4","3","0"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","34","23","0"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","30","20","0"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","52","31","0"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","39","27","0"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","24","16","0"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","49","30","0"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","14","9","0"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","41","25","0"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","29","18","0"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","2","1","0"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","109","64","0"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","109","64","0"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","12","9","0"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","14","7","0"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","60","38","0"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","27","15","0"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9","4","0"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","13","9","0"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","23","14","0"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","11","6","0"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","11","6","0"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","16","10","0"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","24","18","0"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","35","25","0"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","35","25","0"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","45","31","0"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","6","3","0"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","187","106","0"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","345","211","0"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","292","168","0"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","22","12","0"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","20","11","0"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","19","8","0"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","12","5","0"
"CITY OF CORONADO MAYOR","4","2","0"
"CITY OF CORONADO MEMBER, CITY COUNCIL","4","2","0"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","3","2","0"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","11","5","0"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","22","12","0"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","21","13","0"
"CITY OF ENCINITAS MAYOR","40","23","0"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","6","3","0"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","4","2","0"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","33","18","0"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","19","10","0"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","22","12","0"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2","1","0"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","4","2","0"
"CITY OF LA MESA MEMBER, CITY COUNCIL","11","5","0"
"CITY OF LEMON GROVE MAYOR","3","1","0"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","3","1","0"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","11","5","0"
"CITY OF NATIONAL CITY CITY CLERK","11","5","0"
"CITY OF NATIONAL CITY TREASURER","11","5","0"
"CITY OF OCEANSIDE MAYOR","57","32","0"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","19","12","0"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","17","10","0"
"CITY OF OCEANSIDE CITY CLERK","57","32","0"
"CITY OF OCEANSIDE TREASURER","57","32","0"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","6","4","0"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","4","2","0"
"CITY OF SAN DIEGO MAYOR","314","154","0"
"CITY OF SAN DIEGO CITY ATTORNEY","314","154","0"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","34","17","0"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","29","12","0"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","62","36","0"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","44","23","0"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","33","16","0"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","22","15","0"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","11","6","0"
"CITY OF SANTEE MAYOR","22","15","0"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","3","2","0"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","5","3","0"
"CITY OF SOLANA BEACH MAYOR","16","8","0"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","4","2","0"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","4","2","0"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","12","7","0"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","12","6","0"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","6","4","0"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","2","1","0"
"CREST/DEHESA/HARBISON CANYON/GRANITE HILLS COMMUNITY PLANNING AREA CREST  MEMBER, PLANNING GROUP","4","3","0"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","21","11","0"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","37","23","0"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","45","25","0"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","10","5","0"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","7","6","0"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","34","28","0"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","20","17","0"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","20","13","0"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","15","8","0"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","40","28","0"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8","5","0"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","58","38","0"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","63","40","0"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","10","7","0"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9","5","0"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","14","10","0"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","3","2","0"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","33","27","0"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","83","66","0"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","21","14","0"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","9","5","0"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8","4","0"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","37","30","0"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","48","33","0"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","19","11","0"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","30","17","0"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","39","19","0"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","27","20","0"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","10","5","0"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","10","6","0"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","36","27","0"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1414","842","0"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1414","842","0"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1414","842","0"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1414","842","0"
"PROP 18 Amends CA Constitution Voting Age.","1414","842","0"
"PROP 19 Changes Certain Property Tax Rules.","1414","842","0"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1414","842","0"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1414","842","0"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1414","842","0"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1414","842","0"
"PROP 24 Amends Consumer Privacy Laws.","1414","842","0"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1414","842","0"
"MEASURE A-CITY OF SAN DIEGO 2/3 General Obligation Bonds for Affordable Housing.","314","154","0"
"MEASURE B-CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","314","154","0"
"MEASURE C-SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","203","89","0"
"MEASURE D-SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","203","89","0"
"MEASURE E-CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","314","154","0"
"MEASURE G-CITY OF CARLSBAD City Council Compensation.","75","40","0"
"MEASURE H-CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","40","23","0"
"MEASURE I-CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","12","6","0"
"MEASURE J-CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","3","1","0"
"MEASURE K-CITY OF OCEANSIDE Establishing Term Limits.","57","32","0"
"MEASURE L-CITY OF OCEANSIDE North River Farms Referendum.","57","32","0"
"MEASURE M-CITY OF OCEANSIDE Cannabis Business Tax.","57","32","0"
"MEASURE P-CITY OF POWAY The Farm In Poway Specific Plan.","22","12","0"
"MEASURE N-CITY OF SANTEE General Plan Protection Initiative.","22","15","0"
"MEASURE Q-CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","22","15","0"
"MEASURE R-CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","22","15","0"
"MEASURE S-CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","16","8","0"
"MEASURE T-CAJON VALLEY UN SCHL 55 Percent Bond Measure.","132","80","0"
"MEASURE U-DEHESA ELEM SCHL 55 Percent Bond Measure.","12","9","0"
"MEASURE V-LA MESA SPG VLY ELEM SCHL 55 Percent Bond Measure.","46","26","0"
"MEASURE W-OCEANSIDE UNIFIED SCHL 55 PercentÂ Bond Measure.","33","18","0"
"MEASURE X-SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","21","9","0"
"MEASURE Y-LAKESIDE FIRE PROT 2/3 Special Tax.","32","18","0"
"MEASURE Z-RINCON RANCH COMM SRV 2/3  Special Tax.","1","1","0"
"MEASURE AA-VALLEY CENTER FIRE PROT  2/3 Fire Protection District Emergency Response Protection Measure.","10","6","0"
