Unofficial Election Results
Contest Name,Ballots Cast
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT B","374483"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT MEMBER, BOARD OF TRUSTEES  DISTRICT D","374483"
"SOUTHWESTERN COMMUNITY COLLEGE DISTRICT GOVERNING BOARD MEMBER SEAT NO. 3","150685"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","8546"
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","8030"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","8002"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","3958"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","11213"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","20428"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","15579"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","13899"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","374110"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","374110"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","374110"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","11902"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","12298"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","8900"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","2573"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","11098"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","6241"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","14114"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","894"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","11306"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","11307"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","39678"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","19520"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","18581"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","34435"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","8088"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9708"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","13813"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","6495"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","100862"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","100862"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","981"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","23283"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","39470"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","11573"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","8673"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","7665"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","14461"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","11308"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","11308"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","12574"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3188"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","23431"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","23431"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","21346"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","3433"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","178705"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","239156"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","265020"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","14144"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","16387"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","25411"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","16274"
"CITY OF CORONADO MAYOR","8002"
"CITY OF CORONADO MEMBER, CITY COUNCIL","8002"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2666"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","5261"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","8302"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","5400"
"CITY OF ENCINITAS MAYOR","32735"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","8492"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","6975"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","14167"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","9510"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","13301"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2195"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1303"
"CITY OF LA MESA MEMBER, CITY COUNCIL","23995"
"CITY OF LEMON GROVE MAYOR","8371"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","8371"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","12667"
"CITY OF NATIONAL CITY CITY CLERK","12667"
"CITY OF NATIONAL CITY TREASURER","12667"
"CITY OF OCEANSIDE MAYOR","62534"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","18979"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","17095"
"CITY OF OCEANSIDE CITY CLERK","62534"
"CITY OF OCEANSIDE TREASURER","62534"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","6744"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","4511"
"CITY OF SAN DIEGO MAYOR","497026"
"CITY OF SAN DIEGO CITY ATTORNEY","497026"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","68938"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","68810"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","72111"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","61399"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","33620"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","7534"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","8774"
"CITY OF SANTEE MAYOR","22018"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","5571"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","5784"
"CITY OF SOLANA BEACH MAYOR","7005"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","1877"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1638"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","7873"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","6738"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","6898"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1137"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","17534"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","17466"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","17493"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6666"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","1805"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","7076"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7992"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","12047"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","15610"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","19000"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8326"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","24093"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","30389"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2242"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","1781"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","14165"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","2890"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","4450"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","16586"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6814"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2009"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","6208"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9639"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","22676"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","20572"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","22569"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","28843"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9195"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","7862"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7408"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7690"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1163470"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1163470"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1163470"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1163470"
"PROP 18 Amends CA Constitution Voting Age.","1163470"
"PROP 19 Changes Certain Property Tax Rules.","1163470"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1163470"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1163470"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1163470"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1163470"
"PROP 24 Amends Consumer Privacy Laws.","1163470"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1163470"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","497026"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","497026"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","374110"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","374110"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","497026"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","57648"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","32735"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","7199"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","8371"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","62534"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","62534"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","62534"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","22116"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","22018"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","22018"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","22018"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","7005"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","52446"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","981"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","51109"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","41391"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","20809"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","23054"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","79"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","7408"
