Unofficial Election Results
Contest Name,Ballots Cast
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","19658"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","15232"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","13049"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","367222"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","367222"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","367222"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","11830"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","12200"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","8727"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","2573"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","10904"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","6191"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","13694"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","870"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","10913"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","11190"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","38602"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","18871"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","18223"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","33763"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","7658"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9415"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","13273"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","5921"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","99160"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","99160"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","977"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","22727"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","38001"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","11226"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","8399"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","7316"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","14443"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","11171"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","11171"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","12562"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3138"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","22920"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","22920"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","20971"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","3425"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","175986"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","233193"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","259302"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","13927"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","15729"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","24939"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","16196"
"CITY OF CORONADO MAYOR","8001"
"CITY OF CORONADO MEMBER, CITY COUNCIL","8001"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2575"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","5198"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","7699"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","5344"
"CITY OF ENCINITAS MAYOR","31307"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","8132"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","6763"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","14014"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","9448"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","12755"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2194"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1297"
"CITY OF LA MESA MEMBER, CITY COUNCIL","23460"
"CITY OF LEMON GROVE MAYOR","8254"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","8254"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","12620"
"CITY OF NATIONAL CITY CITY CLERK","12620"
"CITY OF NATIONAL CITY TREASURER","12620"
"CITY OF OCEANSIDE MAYOR","60942"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","18716"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","16449"
"CITY OF OCEANSIDE CITY CLERK","60942"
"CITY OF OCEANSIDE TREASURER","60942"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","6588"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","4405"
"CITY OF SAN DIEGO MAYOR","487880"
"CITY OF SAN DIEGO CITY ATTORNEY","487880"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","66868"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","68363"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","70985"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","60861"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","33309"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","7401"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","8626"
"CITY OF SANTEE MAYOR","21508"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","5565"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","5561"
"CITY OF SOLANA BEACH MAYOR","6781"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","1817"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1587"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","7380"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","6676"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","6488"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1118"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","17180"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","17257"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","16857"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6472"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","1800"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","6744"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7667"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","11948"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","15299"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","18277"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8020"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","23728"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","29901"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2189"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","1736"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","13315"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","2779"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","4325"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","15927"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6803"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","1944"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","6110"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9380"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","21675"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","19967"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","22132"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","28087"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9108"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","7861"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7404"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7252"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1138410"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1138410"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1138410"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1138410"
"PROP 18 Amends CA Constitution Voting Age.","1138410"
"PROP 19 Changes Certain Property Tax Rules.","1138410"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1138410"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1138410"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1138410"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1138410"
"PROP 24 Amends Consumer Privacy Laws.","1138410"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1138410"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","487880"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","487880"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","367222"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","367222"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","487880"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","56371"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","31307"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","7188"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","8254"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","60942"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","60942"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","60942"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","21843"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","21508"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","21508"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","21508"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","6781"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","50704"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","977"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","49606"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","40360"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","20590"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","23014"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","79"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","7404"
