Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 305,000) </br> Next Update 11/6/20 After 5PM
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","11160"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","14844"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2518"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1611"
"CITY OF LA MESA MEMBER, CITY COUNCIL","27191"
"CITY OF LEMON GROVE MAYOR","9592"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","9592"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","14693"
"CITY OF NATIONAL CITY CITY CLERK","14693"
"CITY OF NATIONAL CITY TREASURER","14693"
"CITY OF OCEANSIDE MAYOR","71839"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","21472"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","19898"
"CITY OF OCEANSIDE CITY CLERK","71839"
"CITY OF OCEANSIDE TREASURER","71839"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","7352"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","5084"
"CITY OF SAN DIEGO MAYOR","564979"
"CITY OF SAN DIEGO CITY ATTORNEY","564979"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","75448"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","79027"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","80228"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","69094"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","39396"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","8570"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","9827"
"CITY OF SANTEE MAYOR","26272"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","6626"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","6940"
"CITY OF SOLANA BEACH MAYOR","7780"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","2083"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1843"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","8714"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","8036"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","8014"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1341"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","20366"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","20576"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","20277"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7166"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2152"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","7498"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","8664"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","14097"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","17835"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","21581"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","10004"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","27150"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","34409"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2513"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","2057"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","16591"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","3543"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","5027"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","18014"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7916"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2270"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","7398"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","10918"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","25518"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","23807"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","25407"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","31571"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","10347"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","8874"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","8423"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","8476"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1327151"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1327151"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1327151"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1327151"
"PROP 18 Amends CA Constitution Voting Age.","1327151"
"PROP 19 Changes Certain Property Tax Rules.","1327151"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1327151"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1327151"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1327151"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1327151"
"PROP 24 Amends Consumer Privacy Laws.","1327151"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1327151"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","564979"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","564979"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","427063"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","427063"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","564979"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","63770"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","35466"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","8583"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","9592"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","71839"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","71839"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","71839"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","24758"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","26272"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","26272"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","26272"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","7780"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","60820"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","1175"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","57717"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","48258"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","24481"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","29002"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","89"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","8423"
