Unofficial Election Results
Contest Name,Ballots Cast
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","5918"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","98026"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","98026"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","948"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","22352"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","37656"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","11189"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","8395"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","7314"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","14169"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","11056"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","11056"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","12262"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3059"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","22670"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","22670"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","20880"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","3422"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","174042"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","230958"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","257570"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","13845"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","15565"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","24840"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","15857"
"CITY OF CORONADO MAYOR","7984"
"CITY OF CORONADO MEMBER, CITY COUNCIL","7984"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2469"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","5127"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","7691"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","5334"
"CITY OF ENCINITAS MAYOR","31083"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","8075"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","6667"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","13902"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","9247"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","12751"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2128"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1294"
"CITY OF LA MESA MEMBER, CITY COUNCIL","23453"
"CITY OF LEMON GROVE MAYOR","8140"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","8140"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","12321"
"CITY OF NATIONAL CITY CITY CLERK","12321"
"CITY OF NATIONAL CITY TREASURER","12321"
"CITY OF OCEANSIDE MAYOR","60220"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","18420"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","16393"
"CITY OF OCEANSIDE CITY CLERK","60220"
"CITY OF OCEANSIDE TREASURER","60220"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","6434"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","4289"
"CITY OF SAN DIEGO MAYOR","484961"
"CITY OF SAN DIEGO CITY ATTORNEY","484961"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","66526"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","68188"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","70604"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","60473"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","33107"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","7394"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","8548"
"CITY OF SANTEE MAYOR","21307"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","5563"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","5558"
"CITY OF SOLANA BEACH MAYOR","6777"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","1817"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1585"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","7380"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","6674"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","6488"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1118"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","17069"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","16983"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","16710"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6444"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","1768"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","6666"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7623"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","11793"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","15150"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","18109"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8010"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","23489"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","29394"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2151"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","1735"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","13143"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","2749"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","4242"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","15693"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6795"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","1943"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","6082"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9302"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","21668"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","19621"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","21934"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","27646"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9107"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","7695"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7223"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7242"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1129345"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1129345"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1129345"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1129345"
"PROP 18 Amends CA Constitution Voting Age.","1129345"
"PROP 19 Changes Certain Property Tax Rules.","1129345"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1129345"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1129345"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1129345"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1129345"
"PROP 24 Amends Consumer Privacy Laws.","1129345"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1129345"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","484961"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","484961"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","365212"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","365212"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","484961"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","55738"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","31083"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","7083"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","8140"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","60220"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","60220"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","60220"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","21563"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","21307"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","21307"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","21307"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","6777"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","50239"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","948"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","49539"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","39731"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","20377"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","22466"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","79"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","7223"
