"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","19159"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","37749"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","8732"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","10581"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","14800"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","6516"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","111036"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","111036"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","1099"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","23796"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","40703"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","12550"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","9568"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","8336"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","16718"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","12626"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","12626"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","13992"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3420"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","25811"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","25811"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","22290"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","3946"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","198067"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","261076"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","278204"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","15220"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","16926"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","27741"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","18369"
"CITY OF CORONADO MAYOR","8476"
"CITY OF CORONADO MEMBER, CITY COUNCIL","8476"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","2671"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","5828"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","8615"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","5997"
"CITY OF ENCINITAS MAYOR","33575"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","8671"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","7289"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","15492"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","10552"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","14260"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2447"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1560"
"CITY OF LA MESA MEMBER, CITY COUNCIL","25990"
"CITY OF LEMON GROVE MAYOR","9391"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","9391"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","14097"
"CITY OF NATIONAL CITY CITY CLERK","14097"
"CITY OF NATIONAL CITY TREASURER","14097"
"CITY OF OCEANSIDE MAYOR","67947"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","20458"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","18496"
"CITY OF OCEANSIDE CITY CLERK","67947"
"CITY OF OCEANSIDE TREASURER","67947"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","7059"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","4877"
"CITY OF SAN DIEGO MAYOR","530279"
"CITY OF SAN DIEGO CITY ATTORNEY","530279"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","71372"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","73760"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","75202"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","64950"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","37261"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","8347"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","9613"
"CITY OF SANTEE MAYOR","24265"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","6135"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","6382"
"CITY OF SOLANA BEACH MAYOR","7367"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","1971"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","1740"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","8417"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","7628"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","7487"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1282"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","19258"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","19043"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","18823"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","6847"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2044"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","7127"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","8326"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","13303"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","17012"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","20458"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","9181"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","26443"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","32574"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2384"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","1953"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","15854"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","3349"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","4687"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","17005"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7652"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2120"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","7044"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","10497"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","24360"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","22378"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","24339"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","30262"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9954"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","8464"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","8017"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","8126"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1254604"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1254604"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1254604"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1254604"
"PROP 18 Amends CA Constitution Voting Age.","1254604"
"PROP 19 Changes Certain Property Tax Rules.","1254604"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1254604"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1254604"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1254604"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1254604"
"PROP 24 Amends Consumer Privacy Laws.","1254604"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1254604"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","530279"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","530279"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","400033"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","400033"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","530279"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","61161"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","33575"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","8345"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","9391"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","67947"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","67947"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","67947"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","23702"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","24265"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","24265"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","24265"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","7367"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","56748"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","1099"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","55443"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","45402"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","23571"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","26312"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","83"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","8017"
