Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 43,000) </br> Next Update 11/10/20 After 5PM
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","48715"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","11471"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","13175"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","18410"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","7813"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","145117"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","145117"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","1371"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","28057"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","48695"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","16109"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","12393"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","10889"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","22394"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","16395"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","16395"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","18831"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","4237"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","34128"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","34128"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","26181"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","5159"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","259699"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","334816"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","342169"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","18184"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","19642"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","36863"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","24607"
"CITY OF CORONADO MAYOR","10020"
"CITY OF CORONADO MEMBER, CITY COUNCIL","10020"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","3101"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","7808"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","11296"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","7563"
"CITY OF ENCINITAS MAYOR","40551"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","10374"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","9046"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","19624"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","14005"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","17894"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","3107"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","2000"
"CITY OF LA MESA MEMBER, CITY COUNCIL","32429"
"CITY OF LEMON GROVE MAYOR","12248"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","12248"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","18984"
"CITY OF NATIONAL CITY CITY CLERK","18984"
"CITY OF NATIONAL CITY TREASURER","18984"
"CITY OF OCEANSIDE MAYOR","87431"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","25806"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","23757"
"CITY OF OCEANSIDE CITY CLERK","87431"
"CITY OF OCEANSIDE TREASURER","87431"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","8407"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","6165"
"CITY OF SAN DIEGO MAYOR","669832"
"CITY OF SAN DIEGO CITY ATTORNEY","669832"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","85017"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","92795"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","91326"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","81765"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","49871"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","10585"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","11846"
"CITY OF SANTEE MAYOR","32072"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","7921"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","8562"
"CITY OF SOLANA BEACH MAYOR","8827"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","2361"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","2126"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","11052"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","10208"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9758"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1467"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","24387"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","24850"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","24548"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","8169"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2771"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","8658"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9767"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","17317"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","21821"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","25441"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","12315"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","33656"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","41130"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2925"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","2510"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","20997"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","4416"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","5752"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","20715"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","10124"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2571"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","9374"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","13396"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","31408"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","28710"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","30496"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","35716"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","12145"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","11136"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","10660"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","10377"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1591490"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1591490"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1591490"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1591490"
"PROP 18 Amends CA Constitution Voting Age.","1591490"
"PROP 19 Changes Certain Property Tax Rules.","1591490"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1591490"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1591490"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1591490"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1591490"
"PROP 24 Amends Consumer Privacy Laws.","1591490"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1591490"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","669832"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","669832"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","509074"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","509074"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","669832"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","72672"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","40551"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","10550"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","12248"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","87431"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","87431"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","87431"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","28982"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","32072"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","32072"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","32072"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","8827"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","73079"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","1371"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","69851"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","59154"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","30556"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","34808"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","110"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","10660"
