Unofficial Election Results Update </br> (Outstanding Ballots to be Processed: 135,000) </br> Next Update 11/8/20 After 5PM
"CARLSBAD UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","9614"
"CORONADO UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","9671"
"MOUNTAIN EMPIRE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 6","5437"
"OCEANSIDE UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","14429"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","25077"
"POWAY UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA E","19917"
"RAMONA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","19306"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT A","485123"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT D","485123"
"SAN DIEGO UNIFIED SCHOOL DISTRICT MEMBER, BOARD OF EDUCATION DISTRICT E","485123"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA A","14301"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA B","14907"
"SAN MARCOS UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA D","11587"
"VALLEY CENTER-PAUMA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","3176"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 1","14743"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","8848"
"VISTA UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","17256"
"WARNER UNIFIED SCHOOL DISTRICT GOVERNING BOARD MEMBER","1171"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","14326"
"ESCONDIDO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","14688"
"GROSSMONT UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","50143"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","23186"
"SAN DIEGUITO UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","21727"
"SWEETWATER UNION HIGH SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 2","45853"
"ALPINE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","10629"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","12481"
"CAJON VALLEY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","17808"
"CARDIFF SCHOOL DISTRICT GOVERNING BOARD MEMBER","7539"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","136539"
"CHULA VISTA ELEMENTARY SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","136539"
"DEHESA SCHOOL DISTRICT GOVERNING BOARD MEMBER","1313"
"DEL MAR UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","27229"
"ENCINITAS UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","46973"
"ESCONDIDO UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","14788"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 4","11575"
"LA MESA-SPRING VALLEY SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 5","10268"
"LAKESIDE UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER","21335"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER","14924"
"LEMON GROVE SCHOOL DISTRICT GOVERNING BOARD MEMBER - SHORT TERM","14924"
"NATIONAL SCHOOL DISTRICT GOVERNING BOARD MEMBER","16782"
"RANCHO SANTA FE SCHOOL DISTRICT GOVERNING BOARD MEMBER","3980"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 2","31847"
"SANTEE SCHOOL DISTRICT GOVERNING BOARD MEMBER SEAT NO. 4","31847"
"SOLANA BEACH SCHOOL DISTRICT GOVERNING BOARD MEMBER","25514"
"SOUTH BAY UNION SCHOOL DISTRICT GOVERNING BOARD MEMBER TRUSTEE AREA NO. 3","4784"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 1","242308"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 2","315853"
"MEMBER, BOARD OF SUPERVISORS DISTRICT NO. 3","326120"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 2","17503"
"CITY OF CARLSBAD MEMBER, CITY COUNCIL DISTRICT NO. 4","18946"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","34538"
"CITY OF CHULA VISTA MEMBER, CITY COUNCIL DISTRICT NO. 4","23355"
"CITY OF CORONADO MAYOR","9671"
"CITY OF CORONADO MEMBER, CITY COUNCIL","9671"
"CITY OF DEL MAR MEMBER, CITY COUNCIL","3010"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 2","7142"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 3","10866"
"CITY OF EL CAJON MEMBER, CITY COUNCIL DISTRICT NO. 4","7002"
"CITY OF ENCINITAS MAYOR","39179"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 1","10074"
"CITY OF ENCINITAS MEMBER, CITY COUNCIL DISTRICT NO. 2","8666"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 2 - SHORT TERM","17691"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 3","12679"
"CITY OF ESCONDIDO MEMBER, CITY COUNCIL DISTRICT NO. 4","16556"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 2","2839"
"CITY OF IMPERIAL BEACH MEMBER, CITY COUNCIL DISTRICT NO. 4","1822"
"CITY OF LA MESA MEMBER, CITY COUNCIL","30510"
"CITY OF LEMON GROVE MAYOR","11071"
"CITY OF LEMON GROVE MEMBER, CITY COUNCIL","11071"
"CITY OF NATIONAL CITY MEMBER, CITY COUNCIL","16961"
"CITY OF NATIONAL CITY CITY CLERK","16961"
"CITY OF NATIONAL CITY TREASURER","16961"
"CITY OF OCEANSIDE MAYOR","81383"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 3","24197"
"CITY OF OCEANSIDE MEMBER, CITY COUNCIL DISTRICT NO. 4","22274"
"CITY OF OCEANSIDE CITY CLERK","81383"
"CITY OF OCEANSIDE TREASURER","81383"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 2","8203"
"CITY OF POWAY MEMBER, CITY COUNCIL DISTRICT NO. 4","5954"
"CITY OF SAN DIEGO MAYOR","639076"
"CITY OF SAN DIEGO CITY ATTORNEY","639076"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 1","82216"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 3","88812"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 5","88231"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 7","78990"
"CITY OF SAN DIEGO MEMBER, CITY COUNCIL DISTRICT NO. 9","45743"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 3","9954"
"CITY OF SAN MARCOS MEMBER, CITY COUNCIL DISTRICT NO. 4","10779"
"CITY OF SANTEE MAYOR","29937"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 3","7361"
"CITY OF SANTEE MEMBER, CITY COUNCIL DISTRICT NO. 4","7977"
"CITY OF SOLANA BEACH MAYOR","8626"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 1","2312"
"CITY OF SOLANA BEACH MEMBER, CITY COUNCIL DISTRICT NO. 3","2074"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 2","10136"
"CITY OF VISTA MEMBER, CITY COUNCIL DISTRICT NO. 3","9211"
"ALPINE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9081"
"BORREGO WATER DISTRICT MEMBER, BOARD OF DIRECTORS","1396"
"FALLBROOK COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","23013"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","23125"
"HELIX WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","23388"
"LEUCADIA WASTEWATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","7930"
"NORTH COUNTY FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2523"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","8386"
"OLIVENHAIN MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","9357"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","16383"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 4","20645"
"OTAY  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","24492"
"PADRE DAM MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","11502"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","30515"
"PALOMAR HEALTH SYSTEM MEMBER, BOARD OF DIRECTORS DIVISION NO. 6","38309"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","2694"
"RAINBOW MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","2383"
"RAMONA COMMUNITY PLANNING AREA MEMBER, PLANNING GROUP","19617"
"RAMONA MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","4035"
"RANCHO SANTA FE COMMUNITY SERVICES DISTRICT MEMBER, BOARD OF DIRECTORS","5476"
"RANCHO SANTA FE FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","19921"
"RINCON DEL DIABLO MUNICIPAL WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","8880"
"SANTA FE IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","2511"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 2","8801"
"SOUTH BAY IRRIGATION DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","12624"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 1","29272"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 3","26550"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","28571"
"TRI-CITY HEALTHCARE MEMBER, BOARD OF DIRECTORS DIVISION NO. 7","34249"
"VALLECITOS  WATER DISTRICT MEMBER, BOARD OF DIRECTORS DIVISION NO. 5","11226"
"VALLEY CENTER PARKS AND RECREATION MEMBER, BOARD OF DIRECTORS","10065"
"VALLEY CENTER FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9574"
"VISTA FIRE PROTECTION DISTRICT MEMBER, BOARD OF DIRECTORS","9719"
"PROP 14 Authorizes Bonds Continuing Stem Cell Research.","1502055"
"PROP 15 Funding Public Schls, Comm. Colleges, and Local Gov't Svcs. by Changing Tax Assmnt. of Comml. and Ind. Property.","1502055"
"PROP 16 Allows Diversity as a Factor in Public Employment, Education and Contracting Decisions","1502055"
"PROP 17 Restores Right to Vote After Completion of Prison Term.","1502055"
"PROP 18 Amends CA Constitution Voting Age.","1502055"
"PROP 19 Changes Certain Property Tax Rules.","1502055"
"PROP 20 Restricts Parole for Non-Violent Offenders.","1502055"
"PROP 21 Expands Local Governments' Authority to Enact Rent Control on Residential Property.","1502055"
"PROP 22 Exempts App-Based Transportation and Delivery Companies From Providing Employee Benefits to Certain Drivers.","1502055"
"PROP 23 Establishes State Requirements for Kidney Dialysis Clinics.","1502055"
"PROP 24 Amends Consumer Privacy Laws.","1502055"
"PROP 25 Referendum on Law That Replaced Money Bail With System Based on Public Safety and Flight Risk.","1502055"
"MEASURE A - CITY OF SAN DIEGO (REQ 2/3) General Obligation Bonds for Affordable Housing.","639076"
"MEASURE B - CITY OF SAN DIEGO Charter Amendments Establishing Commission on Police Practices.","639076"
"MEASURE C - SAN DIEGO UN SCLH Charter Amendment: District-Only Elections for School Board Members.","485123"
"MEASURE D - SAN DIEGO UN SCLH Charter Amendment: Procedures to Remove School Board Members.","485123"
"MEASURE E - CITY OF SAN DIEGO Removing 30-Foot Height Limit in Midway-Pacific Hwy. Community Plan Area.","639076"
"MEASURE G - CITY OF CARLSBAD City Council Compensation.","69461"
"MEASURE H - CITY OF ENCINITAS Adopt Authorizing Commercial Cannabis Activities Involving Retail Sales.","39179"
"MEASURE I - CITY OF IMPERIAL BEACH Imperial Beach Emergency Response/Vital Services Measure.","9672"
"MEASURE J - CITY OF LEMON GROVE Tax Ordinance - Cannabis Tax.","11071"
"MEASURE K - CITY OF OCEANSIDE Establishing Term Limits.","81383"
"MEASURE L - CITY OF OCEANSIDE North River Farms Referendum.","81383"
"MEASURE M - CITY OF OCEANSIDE Cannabis Business Tax.","81383"
"MEASURE P - CITY OF POWAY The Farm In Poway Specific Plan.","28085"
"MEASURE N - CITY OF SANTEE General Plan Protection Initiative.","29937"
"MEASURE Q - CITY OF SANTEE Term Limits - Three-Term Lifetime Limit.","29937"
"MEASURE R - CITY OF SANTEE Term Limits - Three-Term Council Member Limit / Two-Term Mayoral Limit.","29937"
"MEASURE S - CITY OF SOLANA BEACH Proposed Ord. Amend Municipal Code Regarding Cannabis Businesses.","8626"
"MEASURE T - CAJON VALLEY UN SCHL (REQ 55%) Bond Measure.","68985"
"MEASURE U - DEHESA ELEM SCHL (REQ 55%) Bond Measure.","1313"
"MEASURE V - LA MESA SPG VLY ELEM SCHL (REQ 55%) Bond Measure.","65735"
"MEASURE W - OCEANSIDE UNIFIED SCHL (REQ 55%) Bond Measure.","54823"
"MEASURE X - SOUTH BAY UN ELEM SCHL School Board Member Term Limits.","28193"
"MEASURE Y - LAKESIDE FIRE PROT (REQ 2/3) Special Tax.","32995"
"MEASURE Z - RINCON RANCH COMM SRV (REQ 2/3)  Special Tax.","102"
"MEASURE AA - VALLEY CENTER FIRE PROT  (REQ 2/3) Fire Protection District Emergency Response Protection Measure.","9574"
